lon,lat
-32.402506,-3.842481
-32.403311,-3.842696
-32.405175,-3.843828
-32.404806,-3.845142
-32.402802,-3.846641
-32.402924,-3.846945
-32.402981,-3.847220
-32.402942,-3.847612
-32.402801,-3.848008
-32.402513,-3.848449
-32.402261,-3.848765
-32.401883,-3.849099
-32.401683,-3.849157
-32.401391,-3.850172
-32.401154,-3.850960
-32.401238,-3.851558
-32.401351,-3.852526
-32.401502,-3.852954
-32.401757,-3.853581
-32.401908,-3.853847
-32.402172,-3.854160
-32.402409,-3.854360
-32.402720,-3.854588
-32.403020,-3.854772
-32.403270,-3.854880
-32.403409,-3.854962
-32.403477,-3.855004
-32.403562,-3.854973
-32.403605,-3.854881
-32.403599,-3.854759
-32.403515,-3.854209
-32.403468,-3.853962
-32.403657,-3.853554
-32.403496,-3.853297
-32.403326,-3.853069
-32.403071,-3.852812
-32.402920,-3.852300
-32.402813,-3.851917
-32.402766,-3.851628
-32.402844,-3.851614
-32.402964,-3.851533
-32.403356,-3.851180
-32.403593,-3.850800
-32.403999,-3.850439
-32.404236,-3.850354
-32.404529,-3.850231
-32.404737,-3.850079
-32.405172,-3.849966
-32.405465,-3.849880
-32.405575,-3.849721
-32.405720,-3.849520
-32.405825,-3.849425
-32.405900,-3.849064
-32.405976,-3.848703
-32.406033,-3.848324
-32.406374,-3.847802
-32.406516,-3.847612
-32.407262,-3.847611
-32.407423,-3.847309
-32.407754,-3.847309
-32.407896,-3.847347
-32.408303,-3.847205
-32.408549,-3.846759
-32.408785,-3.846436
-32.409003,-3.846313
-32.409390,-3.846313
-32.409570,-3.846493
-32.409617,-3.846712
-32.409655,-3.846883
-32.409604,-3.847130
-32.409224,-3.848016
-32.409245,-3.848444
-32.408897,-3.848566
-32.408931,-3.848952
-32.409411,-3.848947
-32.409577,-3.849256
-32.409719,-3.849323
-32.409861,-3.849580
-32.410068,-3.849921
-32.410229,-3.849988
-32.410740,-3.849761
-32.411023,-3.849580
-32.411354,-3.849438
-32.411666,-3.849334
-32.411903,-3.849144
-32.412101,-3.849220
-32.412423,-3.849448
-32.412810,-3.849714
-32.413027,-3.849905
-32.413216,-3.850332
-32.413062,-3.850822
-32.412799,-3.852022
-32.412793,-3.852079
-32.412798,-3.852192
-32.412977,-3.852222
-32.413304,-3.852249
-32.413693,-3.852249
-32.414304,-3.852249
-32.414873,-3.852180
-32.415484,-3.852083
-32.415803,-3.851972
-32.415845,-3.852139
-32.415747,-3.852460
-32.415872,-3.852599
-32.416052,-3.852711
-32.416372,-3.852613
-32.416650,-3.852237
-32.416760,-3.852586
-32.416830,-3.852893
-32.416691,-3.853129
-32.416441,-3.853311
-32.415885,-3.853491
-32.415372,-3.853575
-32.415024,-3.854007
