id,xloc,yloc,cost,locked_in,locked_out
1,-32.65,-3.95,1.0,0,0
2,-32.64,-3.95,1.0,0,0
3,-32.63,-3.95,1.0,0,0
4,-32.62,-3.95,1.0,0,0
5,-32.61,-3.95,1.0,0,0
6,-32.6,-3.95,1.0,0,0
7,-32.59,-3.95,1.0,0,0
8,-32.58,-3.95,1.0,0,0
9,-32.57,-3.95,1.0,0,0
10,-32.56,-3.95,1.0,0,0
11,-32.55,-3.95,1.0,0,0
12,-32.54,-3.95,1.0,0,0
13,-32.53,-3.95,1.0,0,0
14,-32.52,-3.95,1.0,0,0
15,-32.51,-3.95,1.0,0,0
16,-32.5,-3.95,1.0,0,0
17,-32.49,-3.95,1.0,0,0
18,-32.48,-3.95,1.0,0,0
19,-32.47,-3.95,1.0,0,0
20,-32.46,-3.95,1.0,0,0
21,-32.45,-3.95,1.0,0,0
22,-32.44,-3.95,1.0,0,0
23,-32.43,-3.95,1.0,0,0
24,-32.42,-3.95,1.0,0,0
25,-32.41,-3.95,1.0,0,0
26,-32.4,-3.95,1.0,0,0
27,-32.39,-3.95,1.0,0,0
28,-32.38,-3.95,1.0,0,0
29,-32.37,-3.95,1.0,0,0
30,-32.36,-3.95,1.0,0,0
31,-32.35,-3.95,1.0,0,0
32,-32.34,-3.95,1.0,0,0
33,-32.33,-3.95,1.0,0,0
34,-32.32,-3.95,1.0,0,0
35,-32.31,-3.95,1.0,0,0
36,-32.3,-3.95,1.0,0,0
37,-32.65,-3.94,1.0,0,0
38,-32.64,-3.94,1.0,0,0
39,-32.63,-3.94,1.0,0,0
40,-32.62,-3.94,1.0,0,0
41,-32.61,-3.94,1.0,0,0
42,-32.6,-3.94,1.0,0,0
43,-32.59,-3.94,1.0,0,0
44,-32.58,-3.94,1.0,0,0
45,-32.57,-3.94,1.0,0,0
46,-32.56,-3.94,1.0,0,0
47,-32.55,-3.94,1.0,0,0
48,-32.54,-3.94,1.0,0,0
49,-32.53,-3.94,1.0,0,0
50,-32.52,-3.94,1.0,0,0
51,-32.51,-3.94,1.0,0,0
52,-32.5,-3.94,1.0,0,0
53,-32.49,-3.94,1.0,0,0
54,-32.48,-3.94,1.0,0,0
55,-32.47,-3.94,1.0,0,0
56,-32.46,-3.94,1.0,0,0
57,-32.45,-3.94,1.0,0,0
58,-32.44,-3.94,1.0,0,0
59,-32.43,-3.94,1.0,0,0
60,-32.42,-3.94,1.0,0,0
61,-32.41,-3.94,1.0,0,0
62,-32.4,-3.94,1.0,0,0
63,-32.39,-3.94,4.53,0,0
64,-32.38,-3.94,1.0,0,0
65,-32.37,-3.94,1.0,0,0
66,-32.36,-3.94,1.0,0,0
67,-32.35,-3.94,1.0,0,0
68,-32.34,-3.94,1.0,0,0
69,-32.33,-3.94,1.0,0,0
70,-32.32,-3.94,1.0,0,0
71,-32.31,-3.94,1.0,0,0
72,-32.3,-3.94,1.0,0,0
73,-32.65,-3.93,1.0,0,0
74,-32.64,-3.93,1.0,0,0
75,-32.63,-3.93,1.0,0,0
76,-32.62,-3.93,2.39,0,0
77,-32.61,-3.93,1.0,0,0
78,-32.6,-3.93,1.0,0,0
79,-32.59,-3.93,1.0,0,0
80,-32.58,-3.93,1.0,0,0
81,-32.57,-3.93,1.0,0,0
82,-32.56,-3.93,1.0,0,0
83,-32.55,-3.93,1.0,0,0
84,-32.54,-3.93,1.0,0,0
85,-32.53,-3.93,1.0,0,0
86,-32.52,-3.93,1.0,0,0
87,-32.51,-3.93,1.0,0,0
88,-32.5,-3.93,1.0,0,0
89,-32.49,-3.93,1.0,0,0
90,-32.48,-3.93,1.0,0,0
91,-32.47,-3.93,1.0,0,0
92,-32.46,-3.93,1.0,0,0
93,-32.45,-3.93,1.0,0,0
94,-32.44,-3.93,1.0,0,0
95,-32.43,-3.93,1.0,0,0
96,-32.42,-3.93,1.0,0,0
97,-32.41,-3.93,1.0,0,0
98,-32.4,-3.93,1.0,0,0
99,-32.39,-3.93,1.0,0,0
100,-32.38,-3.93,1.0,0,0
101,-32.37,-3.93,1.0,0,0
102,-32.36,-3.93,1.0,0,0
103,-32.35,-3.93,1.0,0,0
104,-32.34,-3.93,1.0,0,0
105,-32.33,-3.93,1.0,0,0
106,-32.32,-3.93,1.0,0,0
107,-32.31,-3.93,1.0,0,0
108,-32.3,-3.93,1.0,0,0
109,-32.65,-3.92,1.0,0,0
110,-32.64,-3.92,1.69,0,0
111,-32.63,-3.92,7.43,0,0
112,-32.62,-3.92,5.98,0,0
113,-32.61,-3.92,1.0,0,0
114,-32.6,-3.92,1.0,0,0
115,-32.59,-3.92,1.0,0,0
116,-32.58,-3.92,1.0,0,0
117,-32.57,-3.92,1.0,0,0
118,-32.56,-3.92,1.0,0,0
119,-32.55,-3.92,1.0,0,0
120,-32.54,-3.92,1.0,0,0
121,-32.53,-3.92,1.0,0,0
122,-32.52,-3.92,1.0,0,0
123,-32.51,-3.92,1.0,0,0
124,-32.5,-3.92,1.0,0,0
125,-32.49,-3.92,1.0,0,0
126,-32.48,-3.92,1.0,0,0
127,-32.47,-3.92,1.0,0,0
128,-32.46,-3.92,1.0,0,0
129,-32.45,-3.92,1.0,0,0
130,-32.44,-3.92,1.0,0,0
131,-32.43,-3.92,1.0,0,0
132,-32.42,-3.92,1.0,0,0
133,-32.41,-3.92,1.69,0,0
134,-32.4,-3.92,4.3,0,0
135,-32.39,-3.92,5.47,0,0
136,-32.38,-3.92,4.66,0,0
137,-32.37,-3.92,1.0,0,0
138,-32.36,-3.92,1.0,0,0
139,-32.35,-3.92,1.0,0,0
140,-32.34,-3.92,1.0,0,0
141,-32.33,-3.92,1.0,0,0
142,-32.32,-3.92,1.0,0,0
143,-32.31,-3.92,1.0,0,0
144,-32.3,-3.92,1.0,0,0
145,-32.65,-3.91,1.0,0,0
146,-32.64,-3.91,7.14,0,0
147,-32.63,-3.91,9.35,0,0
148,-32.62,-3.91,9.34,0,0
149,-32.61,-3.91,1.0,0,0
150,-32.6,-3.91,1.0,0,0
151,-32.59,-3.91,1.0,0,0
152,-32.58,-3.91,1.0,0,0
153,-32.57,-3.91,1.0,0,0
154,-32.56,-3.91,1.0,0,0
155,-32.55,-3.91,1.0,0,0
156,-32.54,-3.91,1.0,0,0
157,-32.53,-3.91,1.0,0,0
158,-32.52,-3.91,1.0,0,0
159,-32.51,-3.91,1.0,0,0
160,-32.5,-3.91,1.0,0,0
161,-32.49,-3.91,1.0,0,0
162,-32.48,-3.91,1.0,0,0
163,-32.47,-3.91,1.0,0,0
164,-32.46,-3.91,1.0,0,0
165,-32.45,-3.91,1.0,0,0
166,-32.44,-3.91,1.0,0,0
167,-32.43,-3.91,1.0,0,0
168,-32.42,-3.91,1.0,0,0
169,-32.41,-3.91,1.0,0,0
170,-32.4,-3.91,1.0,0,0
171,-32.39,-3.91,1.0,0,0
172,-32.38,-3.91,4.47,0,0
173,-32.37,-3.91,6.78,0,0
174,-32.36,-3.91,1.0,0,0
175,-32.35,-3.91,1.0,0,0
176,-32.34,-3.91,1.0,0,0
177,-32.33,-3.91,1.0,0,0
178,-32.32,-3.91,1.0,0,0
179,-32.31,-3.91,1.0,0,0
180,-32.3,-3.91,1.0,0,0
181,-32.65,-3.9,5.98,0,0
182,-32.64,-3.9,6.74,0,0
183,-32.63,-3.9,6.81,0,0
184,-32.62,-3.9,7.84,0,0
185,-32.61,-3.9,6.56,0,0
186,-32.6,-3.9,1.0,0,0
187,-32.59,-3.9,1.0,0,0
188,-32.58,-3.9,1.0,0,0
189,-32.57,-3.9,1.0,0,0
190,-32.56,-3.9,1.0,0,0
191,-32.55,-3.9,1.0,0,0
192,-32.54,-3.9,1.0,0,0
193,-32.53,-3.9,1.0,0,0
194,-32.52,-3.9,1.0,0,0
195,-32.51,-3.9,1.0,0,0
196,-32.5,-3.9,1.0,0,0
197,-32.49,-3.9,1.0,0,0
198,-32.48,-3.9,1.0,0,0
199,-32.47,-3.9,1.0,0,0
200,-32.46,-3.9,1.0,0,0
201,-32.45,-3.9,1.0,0,0
202,-32.44,-3.9,1.0,0,0
203,-32.43,-3.9,1.0,0,0
204,-32.42,-3.9,1.0,0,0
205,-32.41,-3.9,1.0,0,0
206,-32.4,-3.9,1.0,0,0
207,-32.39,-3.9,1.0,0,0
208,-32.38,-3.9,1.0,0,0
209,-32.37,-3.9,7.58,0,0
210,-32.36,-3.9,8.55,0,0
211,-32.35,-3.9,6.61,0,0
